departamento,año,mes,fecha,Pobreza_monetaria,No_pobres
Bogota_DC,2023,4,2023-04-01,25.5,74.5
Bolivar,2023,4,2023-04-01,64.5,35.5
Boyaca,2023,4,2023-04-01,43.1,56.9
Caldas,2023,4,2023-04-01,28.5,71.5
Caqueta,2023,4,2023-04-01,69.5,30.5
Casanare,2023,4,2023-04-01,44.3,55.7
Cauca,2023,4,2023-04-01,60.7,39.3
Cesar,2023,4,2023-04-01,67.8,32.2
Choco,2023,4,2023-04-01,81.7,18.3
Cordoba,2023,4,2023-04-01,71.3,28.7
Cundinamarca,2023,4,2023-04-01,41.9,58.1
Guainia,2023,4,2023-04-01,70.7,29.3
Guaviare,2023,4,2023-04-01,55.3,44.7
Huila,2023,4,2023-04-01,60.1,39.9
La_Guajira,2023,4,2023-04-01,78.9,21.1
Magdalena,2023,4,2023-04-01,67.8,32.2
Meta,2023,4,2023-04-01,41.6,58.4
Narino,2023,4,2023-04-01,71.2,28.8
Norte_de_Santander,2023,4,2023-04-01,50.9,49.1
Putumayo,2023,4,2023-04-01,65.4,34.6
Quindio,2023,4,2023-04-01,42.1,57.9
Risaralda,2023,4,2023-04-01,27.8,72.2
Santander,2023,4,2023-04-01,47.8,52.2
Sucre,2023,4,2023-04-01,66.2,33.8
Tolima,2023,4,2023-04-01,54.3,45.7
Valle,2023,4,2023-04-01,36.5,63.5
Vaupes,2023,4,2023-04-01,72.4,27.6
Vichada,2023,4,2023-04-01,87.4,12.6
Amazonas,2023,5,2023-05-01,45.8,54.2
Antioquia,2023,5,2023-05-01,44.1,55.9
Arauca,2023,5,2023-05-01,68.3,31.7
Atlantico,2023,5,2023-05-01,56.7,43.3
Bogota_DC,2023,5,2023-05-01,25.5,74.5
Bolivar,2023,5,2023-05-01,64.5,35.5
Boyaca,2023,5,2023-05-01,43.1,56.9
Caldas,2023,5,2023-05-01,28.5,71.5
Caqueta,2023,5,2023-05-01,69.5,30.5
Casanare,2023,5,2023-05-01,44.3,55.7
Cauca,2023,5,2023-05-01,60.7,39.3
Cesar,2023,5,2023-05-01,67.8,32.2
Choco,2023,5,2023-05-01,81.7,18.3
Cordoba,2023,5,2023-05-01,71.3,28.7
Cundinamarca,2023,5,2023-05-01,41.9,58.1
Guainia,2023,5,2023-05-01,70.7,29.3
Guaviare,2023,5,2023-05-01,55.3,44.7
Huila,2023,5,2023-05-01,60.1,39.9
La_Guajira,2023,5,2023-05-01,78.9,21.1
Magdalena,2023,5,2023-05-01,67.8,32.2
Meta,2023,5,2023-05-01,41.6,58.4
Narino,2023,5,2023-05-01,71.2,28.8
Norte_de_Santander,2023,5,2023-05-01,50.9,49.1
Putumayo,2023,5,2023-05-01,65.4,34.6
Quindio,2023,5,2023-05-01,42.1,57.9
Risaralda,2023,5,2023-05-01,27.8,72.2
Santander,2023,5,2023-05-01,47.8,52.2
Sucre,2023,5,2023-05-01,66.2,33.8
