departamento,fecha,temperatura_media
Amazonas,2022-01-01,26.018154580626547
Antioquia,2022-01-01,21.98582024656893
Arauca,2022-01-01,27.850894914624284
Atlantico,2022-01-01,27.97615518222289
Bolivar,2022-01-01,26.490316102456266
Boyaca,2022-01-01,16.999732904242983
Caldas,2022-01-01,18.63736889055229
Caqueta,2022-01-01,26.251210990062752
Casanare,2022-01-01,28.64722321850243
Cauca,2022-01-01,18.63927217334862
Cesar,2022-01-01,26.62992459093267
Choco,2022-01-01,25.08091306195836
Cordoba,2022-01-01,26.756849416039284
Cundinamarca,2022-01-01,18.62755764663976
Guainia,2022-01-01,26.506930150445445
Guajira,2022-01-01,26.501041057802286
Guaviare,2022-01-01,27.209614864567943
Huila,2022-01-01,20.24334058217081
Magdalena,2022-01-01,27.64898851910371
Meta,2022-01-01,28.11191652941905
Narino,2022-01-01,19.36985101876777
Norte De Santander,2022-01-01,20.82535411406881
Putumayo,2022-01-01,25.466357308478
Quindio,2022-01-01,17.907312727474345
Risaralda,2022-01-01,18.395122924509284
Santander,2022-01-01,21.586458258223583
Sucre,2022-01-01,27.315493116750314
Tolima,2022-01-01,21.64118760165936
Valle Del Cauca,2022-01-01,18.40722477199415
Vaupes,2022-01-01,25.92874630180592
Vichada,2022-01-01,29.34253689432945
Amazonas,2022-01-02,26.11636372071545
Antioquia,2022-01-02,21.96922776928728
Arauca,2022-01-02,27.419427109717898
Atlantico,2022-01-02,28.448210667575413
Bolivar,2022-01-02,27.077827963008644
Boyaca,2022-01-02,17.21784014697081
Caldas,2022-01-02,18.87541430766626
Caqueta,2022-01-02,27.02061147189581
Casanare,2022-01-02,28.20998063051347
Cauca,2022-01-02,18.26810622828553
Cesar,2022-01-02,27.11273717776185
Choco,2022-01-02,24.696503481615007
Cordoba,2022-01-02,27.408342584508603
Cundinamarca,2022-01-02,18.795779127719705
Guainia,2022-01-02,26.59847366232243
Guajira,2022-01-02,26.45340755816852
Guaviare,2022-01-02,27.955441441662888
Huila,2022-01-02,20.071036958522846
Magdalena,2022-01-02,28.44865584931417
Meta,2022-01-02,28.367580626017705
Narino,2022-01-02,19.28217521305589
Norte De Santander,2022-01-02,21.008728867707884
Putumayo,2022-01-02,25.81216388209474
Quindio,2022-01-02,17.97968759916616
Risaralda,2022-01-02,18.65594333056865
Santander,2022-01-02,21.961695214968675
Sucre,2022-01-02,27.9761613291922
Tolima,2022-01-02,21.76733301340517
Valle Del Cauca,2022-01-02,18.51737688419228
Vaupes,2022-01-02,26.065922837602866
Vichada,2022-01-02,29.005319396040846
Amazonas,2022-01-03,26.830767827117413
Antioquia,2022-01-03,21.90773206223077
Arauca,2022-01-03,27.24944622126841
Atlantico,2022-01-03,28.28183769051564
Bolivar,2022-01-03,26.8981597204729
Boyaca,2022-01-03,16.606624431141174
Caldas,2022-01-03,18.2520769584903
Caqueta,2022-01-03,26.66011041594063
Casanare,2022-01-03,28.129557472565423
Cauca,2022-01-03,17.746439920101654
Cesar,2022-01-03,26.6874242064639
Choco,2022-01-03,24.63528464493093
Cordoba,2022-01-03,27.18251881724364
Cundinamarca,2022-01-03,18.1123810352682
Guainia,2022-01-03,26.374310695076765
Guajira,2022-01-03,26.31615579144423
Guaviare,2022-01-03,27.529733762131865
Huila,2022-01-03,19.67993309752797
Magdalena,2022-01-03,28.358035980532264
Meta,2022-01-03,28.19056035745516
Narino,2022-01-03,18.96283042293
Norte De Santander,2022-01-03,20.46464985797383
Putumayo,2022-01-03,25.730063254817235
Quindio,2022-01-03,16.73365875100192
Risaralda,2022-01-03,17.67903861232162
Santander,2022-01-03,21.35733795100281
Sucre,2022-01-03,27.93906916773385
Tolima,2022-01-03,20.54811320162129
Valle Del Cauca,2022-01-03,17.53504404644399
Vaupes,2022-01-03,26.243080669410624
Vichada,2022-01-03,28.696223395601866
Amazonas,2022-01-04,27.04161515083638
Antioquia,2022-01-04,21.85058850125152
Arauca,2022-01-04,26.90508046712776
Atlantico,2022-01-04,28.20467536986257
Bolivar,2022-01-04,26.560455429222795
Boyaca,2022-01-04,16.427518601874894
Caldas,2022-01-04,18.136676431972727
Caqueta,2022-01-04,26.08448614115668
Casanare,2022-01-04,27.60325481128768
Cauca,2022-01-04,17.298023643132954
Cesar,2022-01-04,26.136373526164785
Choco,2022-01-04,24.8495230531134
Cordoba,2022-01-04,26.99848457289057
Cundinamarca,2022-01-04,18.169497702147005
Guainia,2022-01-04,26.6151953818196
Guajira,2022-01-04,26.150954617636422
Guaviare,2022-01-04,27.15386498501747
Huila,2022-01-04,19.081951123273694
Magdalena,2022-01-04,27.9435043437624
Meta,2022-01-04,27.513431353718488
Narino,2022-01-04,19.054396075801648
Norte De Santander,2022-01-04,19.7752357343506
Putumayo,2022-01-04,25.16629900435031
Quindio,2022-01-04,17.44583529586314
Risaralda,2022-01-04,18.243268973357186
Santander,2022-01-04,20.77302593562508
Sucre,2022-01-04,27.606150001939323
Tolima,2022-01-04,21.01354206085661
Valle Del Cauca,2022-01-04,18.09116448531893
Vaupes,2022-01-04,26.460050560426744
Vichada,2022-01-04,28.4046642948922
Amazonas,2022-01-05,26.805324075066977
Antioquia,2022-01-05,21.39703626520341
Arauca,2022-01-05,26.70925030868368
Atlantico,2022-01-05,27.88471349280364
Bolivar,2022-01-05,26.262526167251693
Boyaca,2022-01-05,15.90742541835508
Caldas,2022-01-05,18.427166265723848
Caqueta,2022-01-05,25.7720867867108
Casanare,2022-01-05,27.552393912000127
Cauca,2022-01-05,17.059622179215392
Cesar,2022-01-05,25.735987611668307
Choco,2022-01-05,24.685562230630293
Cordoba,2022-01-05,26.70638869945777
Cundinamarca,2022-01-05,18.255053452506928
Guainia,2022-01-05,26.464969274092
Guajira,2022-01-05,26.01504424790837
Guaviare,2022-01-05,26.81466104649387
Huila,2022-01-05,18.8840807981756
Magdalena,2022-01-05,27.611054183236007
Meta,2022-01-05,27.464205134220627
Narino,2022-01-05,18.28513784559356
Norte De Santander,2022-01-05,19.32117709585229
Putumayo,2022-01-05,24.78930308077213
Quindio,2022-01-05,16.998801631647613
Risaralda,2022-01-05,18.08957969097052
Santander,2022-01-05,20.498237197479025
Sucre,2022-01-05,27.428880384848423
Tolima,2022-01-05,21.005112192011705
Valle Del Cauca,2022-01-05,18.002815236507463
Vaupes,2022-01-05,25.87470789688324
Vichada,2022-01-05,28.09440309670617
Amazonas,2022-01-06,26.64480970321439
Antioquia,2022-01-06,21.558754751373336
Arauca,2022-01-06,27.266324064754592
Atlantico,2022-01-06,27.989235550555744
Bolivar,2022-01-06,26.205394136446547
